 ,Area,Mean,Min,Max,Angle,Length
1,163.437,27.378,20.000,49.875,180,76.734
2,167.738,30.628,20.357,51.750,180,78.289
3,150.535,29.808,18.206,53.250,180,70.514
4,159.137,31.486,18.382,57.312,180,75.178
5,223.651,29.336,17.015,57.812,180,105.250
6,116.127,27.194,19.000,54.250,180,53.921
7,77.418,26.306,20.971,44.500,180,35.260
8,163.437,25.014,20.250,55.000,180,76.215
9,159.137,31.985,19.083,57.312,180,74.141
10,150.535,32.529,18.500,58.000,180,70.512
11,326.875,41.266,19.107,74.500,180,154.504
12,150.535,33.108,17.588,72.000,180,69.475
13,227.952,42.020,19.798,94.000,180,106.805
14,176.340,33.270,19.320,68.375,180,82.437
